Name;Message;Multiplexing/Group;Startbit;Length [Bit];Byte Order;Value Type;Initial Value;Factor;Offset;Minimum;Maximum;Unit;Value Table;Comment;GenSigStartValue;GenSigInactiveValue;GenSigCycleTimeActive;GenSigCycleTime;GenSigSendType;Vehicle function - Stop and Go;VBC_BB1_BB2_Gateway;Urea tank measurement & warning;Urea injection strategy;Urea dosing system heating;Turbo System;Torque and speed control;TEA2+ system start up;System mode selection ZF 6AS;Starter motor control;Start gear selection;SigType;SeToolVersion_SIGNAL;SeToolUniqueID_SIGNAL;SeToolOwnerSigGroup_SIGNAL;SeToolOwnerSigGroupID_SIGNAL;SeToolName_SIGNAL;SeToolItemID_SIGNAL;SeToolAncestorID_SIGNAL;SPN;Routine Control TECU;Routine Control HPCU;Routine Control EECU;Routine Control ACM;Roller Bench;Retarder Control - Vendor;Retarder;Preheater control;Oil system;OBD;Nox Measurements;NeedsUpdateBit;MmAnSignal;Manual gear selection;MAIA;Logging;LoggedVehicleData_TECU;LoggedVehicleData_HPCU;LoggedVehicleData_EECU;LoggedVehicleData_ACM;Intake throttle control;Immobilizer VIN check;Idle Speed Control;Hybrid vendor subsystem;Hybrid traction voltage system s;Hybrid traction voltage control;Hybrid thermal management;Hybrid take off and low speed dr;Hybrid on vehicle tests;Hybrid normal driving;Hybrid manufacturing mode;Hybrid general fault back modes;Hybrid gearshift;Hybrid gear selection;Hybrid fault handling;Hybrid fault detection;Hybrid electric abilities;Hybrid active state in neutral;Hybrid Stop and Go;Hybrid SRS;Hybrid PWT startup and shutdown;Hybrid PWT modes management;Hybrid PWT glossary;Hybrid MDS;Hybrid ESS SOC management;Hybrid ESS;Hybrid DCDC;GenSigMaxLatency;GenSigILSupport;GenSigEVName;Fan control;Factory modes;FIE Denso;FIE Common;FIE Auxillaries;Engine stop;Engine heat mode for DPF;Engine emission control;Engine Protection;Eco Roll;EGR;ECU start up;EATS Regeneration;EATS Emission Control;EATS;Driving modes;Driveline protection;Driveline Sensor Actuator;Driveline Control ZF 6AS;Driveline Control - Allison APS;Driveline Control;Diagnostic data TECU;Diagnostic data EECU;Diagnostic data ACM;Diagnostic Services;DPF Regeneration interface;Cruise Control;Cooling;Coolant control;CSWC;CACIS;BridgePlan;Body builder;Back pressure device;Automatic gear selection;Anti Tampering;AHI,,
TwoSpeedAxleSwitch;CCVS;-;0;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_TwoSpeedAxleSwitch;Switch signal which indicates the current axle range.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;69;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
ParkingBrakeSwitch;CCVS;-;2;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_ParkingBrakeSwitch;Switch signal which indicates when the parking brake is set.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;70;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
CruiseCtrlPauseSwitch;CCVS;-;4;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_CruiseCtrlPauseSwitch;Switch signal which indicates the position of the Cruise Control Pause Switch used on Remote Cruise Control applications.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;1633;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
ParkBrakeReleaseInhibitRq;CCVS;-;6;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_ParkBrakeReleaseInhibitRq;not needed for AMTE;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;3807;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
CruiseControlActive;CCVS;-;24;2;Intel;Unsigned;3;1;0;0;3;;VtSig_CruiseControlActive;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;595;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
CruiseControlEnableSwitch;CCVS;-;26;2;Intel;Unsigned;3;1;0;0;3;;VtSig_CruiseControlEnableSwitch;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;596;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
BrakeSwitch;CCVS;-;28;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_BrakeSwitch;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;597;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
ClutchSwitch;CCVS;-;30;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_ClutchSwitch;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;598;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
CruiseControlSetSwitch;CCVS;-;32;2;Intel;Unsigned;3;1;0;0;3;;VtSig_CruiseControlSetSwitch;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;599;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
CruiseControlCoastSwitch;CCVS;-;34;2;Intel;Unsigned;3;1;0;0;3;;VtSig_CruiseControlCoastSwitch;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;600;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,
