Name;Message;Multiplexing/Group;Startbit;Length [Bit];Byte Order;Value Type;Initial Value;Factor;Offset;Minimum;Maximum;Unit;Value Table;Comment;GenSigStartValue;GenSigInactiveValue;GenSigCycleTimeActive;GenSigCycleTime;GenSigSendType;Vehicle function - Stop and Go;VBC_BB1_BB2_Gateway;Urea tank measurement & warning;Urea injection strategy;Urea dosing system heating;Turbo System;Torque and speed control;TEA2+ system start up;System mode selection ZF 6AS;Starter motor control;Start gear selection;SigType;SeToolVersion_SIGNAL;SeToolUniqueID_SIGNAL;SeToolOwnerSigGroup_SIGNAL;SeToolOwnerSigGroupID_SIGNAL;SeToolName_SIGNAL;SeToolItemID_SIGNAL;SeToolAncestorID_SIGNAL;SPN;Routine Control TECU;Routine Control HPCU;Routine Control EECU;Routine Control ACM;Roller Bench;Retarder Control - Vendor;Retarder;Preheater control;Oil system;OBD;Nox Measurements;NeedsUpdateBit;MmAnSignal;Manual gear selection;MAIA;Logging;LoggedVehicleData_TECU;LoggedVehicleData_HPCU;LoggedVehicleData_EECU;LoggedVehicleData_ACM;Intake throttle control;Immobilizer VIN check;Idle Speed Control;Hybrid vendor subsystem;Hybrid traction voltage system s;Hybrid traction voltage control;Hybrid thermal management;Hybrid take off and low speed dr;Hybrid on vehicle tests;Hybrid normal driving;Hybrid manufacturing mode;Hybrid general fault back modes;Hybrid gearshift;Hybrid gear selection;Hybrid fault handling;Hybrid fault detection;Hybrid electric abilities;Hybrid active state in neutral;Hybrid Stop and Go;Hybrid SRS;Hybrid PWT startup and shutdown;Hybrid PWT modes management;Hybrid PWT glossary;Hybrid MDS;Hybrid ESS SOC management;Hybrid ESS;Hybrid DCDC;GenSigMaxLatency;GenSigILSupport;GenSigEVName;Fan control;Factory modes;FIE Denso;FIE Common;FIE Auxillaries;Engine stop;Engine heat mode for DPF;Engine emission control;Engine Protection;Eco Roll;EGR;ECU start up;EATS Regeneration;EATS Emission Control;EATS;Driving modes;Driveline protection;Driveline Sensor Actuator;Driveline Control ZF 6AS;Driveline Control - Allison APS;Driveline Control;Diagnostic data TECU;Diagnostic data EECU;Diagnostic data ACM;Diagnostic Services;DPF Regeneration interface;Cruise Control;Cooling;Coolant control;CSWC;CACIS;BridgePlan;Body builder;Back pressure device;Automatic gear selection;Anti Tampering;AHI,
ASREngineControlActive;EBC1;-;0;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_ASREngineControlActive;State signal which indicates that ASR engine control has been commanded to be active.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;561;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
ASRBrakeControlActive;EBC1;-;2;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_ASRBrakeControlActive;State signal which indicates that ASR brake control is active.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;562;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
AntiLockBrakingActive;EBC1;-;4;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_AntiLockBrakingActive;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;563;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
EBSBrakeSwitch;EBC1;-;6;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_EBSBrakeSwitch;;3;0;0;0;OnChange;;;;;;;;;;;;Default;;;;;;;;1121;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
BrakePedalPosition;EBC1;-;8;8;Intel;Unsigned;102;0.4;0;0;102;percent;<none>;;255;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;521;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
AccelInterlockSwitch;EBC1;-;24;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_AccelInterlockSwitch;Switch signal used to disable the accelerator and remote accelerator inputs, causing the engine to return to idle.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;972;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RemoteAccelEnableSwitch;EBC1;-;30;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_RemoteAccelEnableSwitch;Switch signal which indicates that the remote accelerator has been enabled and controls the engine.;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;969;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
EngRetarderSelection;EBC1;-;32;8;Intel;Unsigned;102;0.4;0;0;102;%;<none>;;255;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;973;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
ABSFullyOperational;EBC1;-;40;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_ABSFullyOperational;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;1243;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
EBSRedWarningSignal;EBC1;-;42;2;Intel;Unsigned;3;1;0;0;3;-;VtSig_EBSRedWarningSignal;;3;0;0;0;NoSigSendType;;;;;;;;;;;;Default;;;;;;;;1439;;;;;;;;;;;;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Yes;Env@Nodename_@Signame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
