onum	hdr	ext1	ext2	pt
0	2	3	4	6
1	10	11	12	14
2	18	19	20	22
3	26	27	28	30
4	34	35	36	38
5	42	43	44	46
6	50	51	52	54
7	58	59	60	62
8	66	67	68	70
9	74	75	76	78
10	82	83	84	86
11	90	91	92	94
12	98	99	100	102
13	106	107	108	110
14	114	115	116	118
15	122	123	124	126
16	130	131	132	134
17	138	139	140	142
18	146	147	148	150
19	154	155	156	158
20	162	163	164	166
21	170	171	172	174
22	178	179	180	182
23	186	187	188	190
24	194	195	196	198
25	202	203	204	206
26	210	211	212	214
27	218	219	220	222
28	226	227	228	230
29	234	235	236	238
30	242	243	244	246
31	250	251	252	254
